Event	ID	Name			Wwise Object Path	Notes
	220152196	Play_Vile_Hope_You_Ready_X			\Default Work Unit\Play_Vile_Hope_You_Ready_X	
	323590777	Play_Vile_Frag_Drop			\Default Work Unit\Play_Vile_Frag_Drop	
	706036056	Play_Vile_I_Show_You_How_Strong_I_Am			\Default Work Unit\Play_Vile_I_Show_You_How_Strong_I_Am	
	738427375	Play_Vile_Hahahaha			\Default Work Unit\Play_Vile_Hahahaha	
	742254679	Play_Vile_Attack			\Default Work Unit\Play_Vile_Attack	
	2262011310	Play_Vile_I_Not_Done_Yet			\Default Work Unit\Play_Vile_I_Not_Done_Yet	
	3140733435	Play_Vile_Cherry_Blast			\Default Work Unit\Play_Vile_Cherry_Blast	
	3201666147	Play_Vile_Die			\Default Work Unit\Play_Vile_Die	
	3343923811	Play_Vile_Fury			\Default Work Unit\Play_Vile_Fury	
	3356164149	Play_Vile_Hey_Not_Bad			\Default Work Unit\Play_Vile_Hey_Not_Bad	
	3579896108	Play_Vile_Armed			\Default Work Unit\Play_Vile_Armed	
	3862754203	Play_Vile_Charge_Shoot			\Default Work Unit\Play_Vile_Charge_Shoot	
	4103301416	Play_Vile_I_Cant_Lose_To_X			\Default Work Unit\Play_Vile_I_Cant_Lose_To_X	
	4120866432	Play_Vile_Spawn			\Default Work Unit\Play_Vile_Spawn	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15148355	Vile_Hope_You_Ready_X	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Hope_You_Ready_X_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Spawn\Vile_Hope_You_Ready_X		9167
	42905641	Vile_Hey_Not_Bad	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Hey_Not_Bad_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Fury\Vile_Hey_Not_Bad		9632
	84787643	Vile_Take_This	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Take_This_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Attack\Vile_Take_This		5608
	88118441	Vile_Armed	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Armed_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Armed		5459
	132120522	Vile_Ha	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Ha_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Attack\Vile_Ha		3417
	273514321	Vile_I-Cant_Lose_To_X	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_I-Cant_Lose_To_X_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Die\Vile_I-Cant_Lose_To_X		14142
	436735630	Vile_Frag_Drop	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Frag_Drop_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Frag_Drop		7697
	648815430	Vile_I_Not_Done_Yet	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_I_Not_Done_Yet_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Fury\Vile_I_Not_Done_Yet		9613
	799034785	Vile_I_Show_You_How_Strong_I_Am	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_I_Show_You_How_Strong_I_Am_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Fury\Vile_I_Show_You_How_Strong_I_Am		11724
	818253211	Vile_Charge_Shoot	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Charge_Shoot_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Charge_Shoot		3909
	826137063	Vile_Heree	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Heree_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Attack\Vile_Heree		3525
	827592597	Vile_I_Am_Ready_To_Give_It_A_Shot	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_I_Am_Ready_To_Give_It_A_Shot_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Spawn\Vile_I_Am_Ready_To_Give_It_A_Shot		10277
	866767915	Vile_Haaa	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Haaa_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Attack\Vile_Haaa		6449
	872729793	Vile_Cherry_Blast	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Cherry_Blast_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Cherry_Blast		3088
	875827053	Vile_Eat_This	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Eat_This_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Attack\Vile_Eat_This		5351
	1029458072	Vile_Hahahaha	A:\Users\augus\Documents\WwiseProjects\VileModV3SB\.cache\Windows\SFX\Vile_Hahahaha_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\Vile_Hahahaha		8998

